"039c0ac","Mickael Moreau","2018-12-21 13:54:59 +0100","Preparing backend for Production based on Monwoo Market by M.Monwoo's knowledge"
"2d0bb75","Mickael Moreau","2018-12-21 10:51:02 +0100","Ajusting features for stable v1.0.0 by postponing unstable to v1.0.1"
"9c1043c","Mickael Moreau","2018-12-20 07:58:40 +0100","Improving frontend"
"0cc9529","Mickael Moreau","2018-12-20 06:08:28 +0100","Improving frontend"
"cb68e44","Mickael Moreau","2018-12-20 03:07:59 +0100","Allowing moon-box backup import/export from parameters OK"
"34c3d4e","Mickael Moreau","2018-12-19 23:56:57 +0100","Bug fixing shaking sticky header + try to sole multiple box load issue for login not fetching right user..."
"85279cd","Mickael Moreau","2018-12-19 21:06:36 +0100","Trying to solve issue with multibox removal"
"ba25826","Mickael Moreau","2018-12-19 19:41:18 +0100","Improving frontend logger"
"dabbc67","Mickael Moreau","2018-12-19 19:06:27 +0100","Bug fixing shaking sticky header"
"d8d9545","Mickael Moreau","2018-12-19 16:13:09 +0100","Fixing backend multi-box issue"
"05b6f03","Mickael Moreau","2018-12-19 11:14:38 +0100","Quick security review for LockScreen feature seem OK"
"e7195f5","Mickael Moreau","2018-12-19 09:45:16 +0100","Improving frontend desing + allowing multi-boxes connects"
"41a92eb","Mickael Moreau","2018-12-19 00:39:12 +0100","Improving frontend"
"028c4d2","Mickael Moreau","2018-12-18 22:34:04 +0100","Improving frontend"
"4df13e7","Mickael Moreau","2018-12-18 20:30:51 +0100","Improving backend API"
"cea0bfe","Mickael Moreau","2018-12-18 20:05:21 +0100","Improving backend security"
"5a14e6d","Mickael Moreau","2018-12-18 18:16:40 +0100","Improving frontend UI and backend data fetch capabilities"
"94e2af0","Mickael Moreau","2018-12-18 18:13:15 +0100","Improving frontend UI and backend data fetch capabilities"
"a92c477","Mickael Moreau","2018-12-18 16:30:47 +0100","Improving frontend UI and backend data fetch capabilities"
"ff684f7","Mickael Moreau","2018-12-18 11:54:28 +0100","Adding documentation for Visual Studio Code config for php 7.1"
"286d6a7","Mickael Moreau","2018-12-18 11:24:29 +0100","Importing installation scripts from MonwooMarket Knowledge, by Miguel Monwoo © Monwoo"
"d4a7ef3","Mickael Moreau","2018-12-17 10:00:37 +0100","Improving stuff"
"c599f1b","Mickael Moreau","2018-12-17 09:20:33 +0100","Improving design"
"8ed98ce","Mickael Moreau","2018-12-17 09:09:04 +0100","Improving design"
"8f5a698","Mickael Moreau","2018-12-17 06:22:30 +0100","Reading IMAP email OK from simple test case"
"5182470","Mickael Moreau","2018-12-17 06:08:06 +0100","Reading IMAP email OK from simple test case"
"4069f00","Mickael Moreau","2018-12-17 03:10:23 +0100","LockScreen feature fully functionnal for demo"
"03e6e9a","Mickael Moreau","2018-12-17 03:03:38 +0100","LockScreen feature fully functionnal for demo"
"cde0ec0","Mickael Moreau","2018-12-17 00:12:09 +0100","Improving LockScreen designs"
